Chapter,Verse, Explanation
1,36,"""A seeker's mind becomes stable and purified even by the process of creating a state of detachment and fullness of consciousness. In the same way, a similar state of fullness of consciousness, called Vishoka Jyotishmatri, also makes the mind stable, peaceful, and pure. According to the Vyas Bhashya, there are two types of this state: Vishwatmika Jyotishmatri and Asmita Jyotishmatri. In this state, the sattva guna is more prominent, while the rajo and tamo gunas are absent. It is only because of the absence of the rajo and tamo gunas that it is called Vishoka. Sorrow arises from the rajo and tamo gunas. Some practitioners of meditation tell us that in the region of the heart, above the navel, there is a lotus flower with its face downwards. When one rapidly exhales and prevents the breath from going out, the lotus flower turns upwards, and the practitioner begins to experience blooming. In the middle of this lotus flower, there is the symbol Om. This lotus flower has a direct connection with the Brahmanadi, which is associated with the sun, the moon, and other worlds. When a yogi or sadhak becomes one-pointed at this point, a satvic light begins to shine in the soul. The yogi experiences a golden light everywhere, which makes his mind deeper and more peaceful. Some yogis say that by mentally visualizing the satvic light in the middle of the eyebrows, one begins to see glimpses of light there, and through deeper practice, that light spreads throughout the entire body. As a result, the sadhak's mind becomes absorbed in that light and begins to experience himself as a manifestation of that light."""
1,37,"""The minds of yogis whose consciousness has transcended the limitations of the ego and has become free from passions and desires, can bring a similar state of equanimity and purity to the mind of the seeker. By adopting the same mindset and behavior as the yogis whose consciousness has transcended the limitations of the ego, the seeker can attain the same state of equanimity and purity.

To experience this, the seeker should follow the same path as these yogis. For instance, the seeker should sit comfortably in any posture, close their eyes, and place their mind on the consciousness of a yogi whose consciousness has transcended the limitations of the ego. They should focus their mind on the state of equanimity and purity that this yogi has attained.

By doing so, the seeker's mind will become calm and tranquil, and they will experience a sense of detachment from the external world. Their mind will become free from passion and desire, and they will attain the state of equanimity and purity that they seek.

The seeker should not attempt to deliberately bring their mind to a state of equanimity and purity, but should rather allow themselves to be guided by the consciousness of the yogi. They should allow themselves to be drawn into the state of equality and unity that this yogi has attained.

As they sit in meditation, the seeker's mind will gradually become calm and tranquil, and they will experience a sense of detachment from the external world. Their mind will become free from passion and desire, and they will attain the state of equanimity and purity that they seek.

Such a state is not a permanent state, but it can be attained by repeating this practice regularly. With each repetition, the seeker's mind will become more calm and tranquil, and they will experience a greater sense of detachment from the external world.

The consciousness of the yogi is a powerful tool that can bring a state of equanimity and purity to the seeker's mind. By adopting the same mindset and behavior as the yogi, the seeker can attain the same state of equanimity and purity.

In today's time, we have guides like Swami Ramdev who have attained this state of equanimity and purity, and we can learn from them. By following their guidance, we can also attain this state and experience a greater sense of detachment from the external world."
1,38,"""Even a mind that takes the foundation of knowledge derived from dreams and sleep can bestow stability and tranquility on the mind. According to scriptures, there are three primary states: wakefulness, sleep, and deep sleep. In the waking state, the predominance of rajas guna and the suppression of tamas guna cause a person's vasanas to flow outward. In sleep, tamas guna increases and rajas guna is suppressed, causing vasanas to flow inward (introverted). The sleep state can also be divided into two parts: dreams and sattvic sleep. For individuals who possess a good sattvic vasana and experience sattvic dreams, a way is explained. They recommend that when a person gets up in the morning, they should try to remember the knowledge gained from dreams for some time. If one can memorize that knowledge and keep it as an anchor during concentration, the mind will remain calm and pure. Without this, even the knowledge gained from sleep can be an anchor for the mind, leading to stability and tranquility. Maharsi has described all these techniques to his disciples, and there is no limit to these techniques. Knowing this, he has also revealed the ultimate technique for obtaining peace next session."""
1,39,"""The methods cited earlier are not the only ones that can bring peace and purity to the mind. Depending on one's nature, one can choose the method that seems suitable and easy to understand. Even if one follows or practices these methods, the mind will become peaceful and pure. This sutra has two ways of being interpreted. One, some people may interpret this sutra to only include the methods mentioned earlier, excluding other methods. However, Maharshi says that there is no need to rely solely on these methods. There are many other means to maintain peace and purity of the mind. Therefore, one can choose the method that suits their nature and use it to calm the mind. According to my opinion, Maharshi did not reject other possibilities in composing this sutra. In each sutra, they say, ""Do not use this method if it is not suitable."" In Maharshi's time, many methods were prevalent. When some prominent methods were cited, no rejection of other methods was intended. Therefore, this sutra was said."""
1,40,"""The ways of purifying and stabilizing the mind, which have been mentioned earlier, should be practiced with sincerity. The adept who practices these methods will gain knowledge of even the smallest and the largest, and the most magnificent things. The fruits of any practice, sadhana, or method can be seen in two ways. Immediate fruits are peace, clarity, and stability of the mind, while long-term fruits are the attainment of higher states and special abilities. By virtue of this kind of purified mind, the adept will be able to grasp even the smallest and largest things, and bring them under control. The adept will even be capable of controlling the most magnificent things. When a practitioner's mind is steady and unmoved, without any obstacle, and is suspended in the subtlest, i.e., atomic, state, and in the vast 'space', he will attain supreme control."""
1,41,"""The yogi whose subtle inclinations are dominated by sattvic qualities and whose awareness is spotless and pure, like a crystal mirror, takes in the form of whatever object comes its way. When the mind is utterly pure and spotless, it takes on the form of that very object, just as an untainted crystal mirror reflects the color of the object placed before it. Therefore, when Maharshi spoke of the various methods and techniques, he asked the question: What is the form of that completely tranquil and pure mind? The answer to this question is this sutra. When the mind is pure and untainted, Maharshi likened it to an untainted crystal mirror, which has no color of its own, but reflects the color of the object placed before it. Similarly, when the mind becomes so pure that it is free from the influences of rajasic and tamasic qualities, the object that comes before it takes on the form of that very object, just as Maharshi described. This is the state of samprajnata samadhi, which is also called the state of cessation. It is essential for a sadhak to regulate their daily life in a sattvic manner, as any carelessness can lead to a downfall. Although the mind is pure and unblemished, it can still be affected by any undesirable thought that enters it, since it has the capacity to grasp the form of that thought, which is also known as direct perception. Therefore, the observance of a pure and regulated life is crucial for a sadhak."""
1,42,"""The cognition that arises from the combination of three factors - word, meaning, and knowledge - is called savitarka samapatti. This understanding arises from a complex process, and for ordinary people, it may seem difficult to grasp. 

The word refers to the sound we utter with our mouths and hear with our ears. For example, the word ""Rohit"" is the name of a boy, and ""Hathi"" is the name of an elephant.

The meaning refers to the special significance or essence inherent in the word. For example, when we hear the word ""Ram,"" we understand it to be the name of a king, Dasharath's son, who had Sita as his partner and had Hanuman as his devotee, who defeated Ravana, the king of Lanka, and killed him.

The knowledge refers to the ability to cognize the special meaning of the word, which arises from the combination of word, meaning, and knowledge. 

In reality, word, meaning, and knowledge are three separate processes. However, due to practice and habit, we often feel that word and meaning are one and the same. 

For a yogi, however, this is not the case. When the yogi enters a state of concentration, he can see the word, meaning, and knowledge separately. This is the state of savitarka samapatti.

When a child learns to speak, he experiences a complex process. Whenever he hears a word, he tries to fit it with objects around him. For example, when someone says ""give me water,"" the child thinks of a glass, and when someone says ""keep the water for bathing,"" the child thinks of a big bucket. 

However, when the child becomes certain, he understands that water is the liquid substance that is present in a glass, bucket, or pipe, and this liquid substance is water. 

In this way, the child's understanding of the word evolves from being separate to becoming one with its meaning. This is the process of savitarka samapatti.

Similarly, as a yogi's understanding of words, meanings, and knowledge becomes one, he attains the state of savitarka samapatti.

We will now describe nirvitarka samapatti."""
1,43,"""When the memory is purified, the intellect becomes empty like a hollow, and the mind starts to manifest only in terms of its meaning. This state is called nirvikalpa samadhi. Let's understand this sutra a little further. Maharshi Patanjali has studied the internal structure of human beings and has explained it in these sutras, which are useful for us to understand and follow. However, those who have not experienced nirvikalpa samadhi find it difficult to imagine this state. But with a little effort, we can mentally experience this state. 

In this world, the existence of everything is expressed through three states: word, meaning, and knowledge. If a word has no meaning, its existence cannot be experienced. Similarly, if the meaning of a word is incorrect, it cannot be experienced. For example, ""the flower of the sky"" is a wrong statement, as there is no such thing as a flower in the sky. 

When we first see a mobile phone, we are familiar with its size, shape, and functioning. As we use it, our memory creates an image of it. Similarly, when we use a concept or an object, our memory constructs its meaning. When we are in a state of nirvikalpa samadhi, these memories and meanings are absent, and only the meaning that is experienced in the present moment remains. 

In this state, the word and its meaning do not appear, but only the meaning itself appears. It is a unique state, and can only be achieved through continuous practice of yoga."""
1,44,"""The two types of self-realization, namely, nirviti and saviti, should be explained and analyzed along with their explanation. Just as we have explained nirviti and saviti in the previous two sutras, we should similarly understand nirvichi and savichi. Nirviti and saviti are concerned with gross phenomena, while nirvichi and savichi are concerned with subtle phenomena. The gross phenomena are like the physical bodies, where words, meaning, and knowledge are separate, resulting in the nirviti state. Similarly, in subtle phenomena, such as atoms, words, meaning, and knowledge are mixed, resulting in the savichi state. In general, words, meaning, and knowledge do not appear to us as separate entities, but yogis who have advanced on the path of yoga, can recognize the subtle atoms by separating them from the alternatives of words, meaning, and knowledge. Gradually, the yogi's consciousness becomes purified, and they are left with only the essence or the meaning.

The discussion of the gross and subtle has been concluded here, with the explanation of the four types of self-realization. The limits of the subtle have been asked by the disciples to Maharshi, and the answer lies in the next sutra."""
1,45,"The subtlety of subject matter, that is the subtlety of gross objects, remains as far as the primary nature. Maharshi also said in the earlier sutra, ""The subtlety of subject matter is expounded"". Now, we are explaining the subtlety of subject matter in this sutra. We will see what this subtlety is and how far it goes. In the explanations of the earlier sutra, it was said that Savitarka and Nirvitarka samadhi are associated with gross beings, while Savichara and Nirvichara samadhi are associated with subtle beings. Therefore, the question arises as to how far this subtlety is possible. Hence, Maharshi says that if we examine the subtle subject matter of atoms in gross objects, it will reach the related subtlety and if we investigate further, the subtle subject matter of all subtleties will be ""Ahamkara"" the principle. Ahamkara's subtle subject matter will be ""Mahattattva"". And finally, when we investigate the subtle subject matter of Mahattattva, we will find its limit ""Aling"", that is, the primary nature. Beyond the primary nature, there is no subtlety of gross objects. From the perspective of Samkhya, when the analysis of principles is done, 25 principles are mentioned. These 25 principles are: 1. Purusha, 2. Prakriti, 3. Mahattattva (Buddhi, Linga), 4. Ahamkara, 5. Chakshu, 6. Karna, 7. Nasika, 8. Jihva, 9. Tvaka, 10. Vak, 11. Pani, 12. Pada, 13. Payu, 14. Upastha, 15. Man, 16. Shabda, 17. Sparsha, 18. Rupa, 19. Rasa, 20. Gandha, 21. Prithvi, 22. Jal, 23. Tejas, 24. Vayu, 25. Akasha. The origin of the principles other than the primary nature is in the following order: Mahattattva (Buddhi) from Prakriti, Ahamkara from Mahattattva,"
1,46,"""All these states (sva-vitarka, nirodha-vitarka, sva-samjna, and asamjna-parinama-samapatti) are salambana samadhi. Maharshi has referred to the four types of samadhi (sva-vitarka, nirodha-vitarka, sva-samjna, and asamjna-parinama-samapatti) as salambana samadhi. This means that there is an external cause that becomes the basis for this type of samadhi, and as long as this external cause is present, the experiencer can experience the samadhi. If the external cause ceases to be present, the samadhi will be broken. Maharshi wrote samadhi as salambana to clearly indicate that there should also be a state that is independent of external causes and is not dependent on them. In the following sutras, we will study in detail the topic of nirbija samadhi, but for now, we understand that these four states are salambana, meaning they are dependent on external causes. In previous sutras, we have also explained that sva-vitarka and nirodha-vitarka samapatti occur in gross objects (earth, pot, tree, flower, etc.), and sva-samjna and asamjna-parinama-samapatti occur in subtle objects like tanmatras, senses, and their objects, or in the mind, ego, intellect, or soul. Therefore, since all these states have external causes, they are referred to as salambana samadhi."""
1,47,"When one practices the state of nirvicara, if one achieves siddhi, then as a result, the form of the object appears to the practitioner as it is. The impurities in the practitioner's mind, which existed before the yoga practice, are purged, and as a result, the mind is filled with the light of satva, leading to a state of clarity and flow. In yogic language, this is called adhyatmic prasada. In simple terms, the result of achieving nirvicara is the purification of the mind, and with a pure mind, one sees the object as it is. One also gains understanding of the true nature. With the experience of adhyatmic prasada, the practitioner develops the ability to transcend their circumstances and comprehend the events happening within themselves. Their mind gains the power to make accurate judgments. Just as a person standing on a high mountain can see distant objects with clarity and gain a wide view, similarly, when one achieves the state of nirvicara, one gains the attainment of pure mind or prajna."
1,48,"When one attains the state of divine grace, a particular cognitive faculty is born, which accepts only true knowledge and rejects contradictory or false knowledge. This faculty is established in the awakened state, and one's intellect is illuminated. The two functions of the intellect are: 1) grasping knowledge and 2) determining truth.

The intellect, having acquired this special faculty, becomes the embodiment of truth. Truth is not relative, but absolute, and is not affected by changing circumstances or context. The universe operates according to the laws of nature, and since these laws are unchanging, the universe itself remains unchanging.

When a yogi's intellect is filled with this special faculty, they are no longer beset by doubts or confusion. They no longer experience duality, and their thoughts and actions become pure and unwavering. Through this, they attain a state of equanimity, and their ego is dissolved.

The yogi, now free from worldly attachments, can focus on their spiritual journey. They can contemplate on the mysteries of the universe, the relationship between the individual self and the universe, and the nature of ultimate reality.

Through the attainment of this special faculty, the yogi becomes equipped to navigate the ultimate reality and experience the ultimate truth. They can also attain a state of self-realization, where they see themselves as a part of the universe and understand the interconnectedness of all things.

The ways to attain this special faculty are: 1) to cultivate self-surrender, 2) to subtly analyze one's own defects and motivations, 3) to observe one's thoughts, feelings, and behavior with a critical eye, and 4) to transcend one's defects and limitations by accepting and embracing duality, rather than trying to control or manipulate it."
1,49,"""The sage Patanjali wants to explain something special about direct perception, which is different from ordinary intelligence through this sutra. The students were wondering how direct perception is different from ordinary intelligence, and Patanjali says that direct perception is a knowledge that arises from proof and inference, and is distinct from it. It is clear that for the yogi who has achieved direct perception, a knowledge is obtained that is beyond proof and inference, and is both different and unique. This knowledge can only be experienced when a sadhak and yogi obtain it. Only then can we understand that the sadhak or yogi has a self- spontaneous inspiration, and a knowledge arise in his mind, heart, or inner self, accompanied by a powerful feeling that indicates that this self-spontaneous knowledge is completely true and eternal. This powerful feeling, born with knowledge, makes the yogi or sadhak certain. This direct perception, freed from attachment and aversion, is the gift of the self to the yogi. The literal meaning of ""prasad"" (gift) is also the one that brings joy. In yoga, everything is connected internally. When we discipline our inner impurities or complex tendencies through practice and detachment, and become fully established in pure tendencies, then direct perception also begins to arise within us. The yogi and sadhak experience the call of direct perception as it begins to dawn on them."""
1,50,"""Maharshi expounded in detail on the subject of Ritambara Pragna in the two preceding sutras. What is the nature of Ritambara Pragna and what benefits does a yogi gain from it, these topics were discussed. Now, we will discuss how Ritambara Pragna assists in achieving self-realization through the present sutra. When Ritambara Pragna arises, unfathomable courage and self-strength arise within the yogi. The yogi's tendencies take birth within him which lead him towards self-discipline and prevent the manifestation of accumulated bad tendencies in a practical way. The first free-flowing state of bad tendencies, habits, or obstacles to yoga is obstructed from arising. The yogi's inner strength awakens and becomes established in the state of detachment, enabling him to strongly curb or abandon difficult tendencies, bad habits, defects, or so-called bad tendencies. From this point onward, the actual struggle begins in his life and he starts winning over bad tendencies. After being fulfilled by Ritambara Pragna, the yogi destroys bad tendencies with the power of understanding and courage and remains only with Ritambara Pragna, wandering spontaneously with self-aware consciousness."""
1,51,"""Thus, when a yogi is endowed with the knowledge of the Absolute, generated by the cultivation of good habits, and is capable of completely stopping all bad habits, he then starts to arrest even the habit of habitual thinking. When the yogi's mind, generated by the knowledge of the Absolute, gives up or arrests the habit of ignorance or attachment, a specific state is established, known as the seedless or un-manifested samadhi. This is considered the highest state on the yogic path where all sorts of habits (whether good or bad) are completely destroyed, and their seeds do not remain. One example to understand this is: imagine you went to the jungle for a walk and, while walking, a thorn pricked your foot. In attempting to remove the thorn from your foot, you end up breaking another thorn and then try to remove the pricked thorn. After a little effort, the pricked thorn is removed, and you also discard the thorn with which you were removing the other thorn. No sensible person retains a thorn in their heart, thinking that this thorn helped remove the other thorn, so it is important to me. One thing is clear: as long as the memory of the thorn or the option to prick remains, the thorn cannot be removed from your life. Similarly, the yogi, endowed with the knowledge of the Absolute, generated by the cultivation of good habits, removes all his bad habits and vices and, then, with effort, frees himself from this habit as well. As a result, he no longer gets entangled in the cycle of good or bad habits or ways of thinking. Let this be firmly settled that as long as even good habits remain in the form of a seed in a person, there are possibilities of the bad habits rising again. This is an unshakeable truth. For an individual, this is the ultimate destination of the journey of becoming a yogi, and we must all ultimately align our life's direction and destination in this direction."""
2,1,"""The first sutra of this science is kriya yoga. After introducing the fundamental and advanced principles of yoga in the samadhi chapter, Maharsi Sada's discourse begins. In kriya yoga, the threefold pattern of yoga, namely tapasya, self-study, and surrender to the Lord, is practiced. Any individual who wants to start their yoga journey can practice these three techniques together. There is no special qualification required for this. 

Tap: To endure the twosided, which are pleasure and pain, gain and loss, respect and disrespect, and other such adversities. A seeker must learn to endure these adversities through regular practice. 

Self-study: Is the study of the self and the study of scriptures that help to reveal the highest principles of the self and bring about purification of the mind. 

Surrender to the Lord: Is the dedication of all one's actions, words, and thoughts to the Lord, without any desire for reward. 

Through the combined practice of these three techniques, a seeker becomes established on the path of yoga. The present discourse provides a comprehensive overview of kriya yoga, which serves as a guide for all seekers on the path of yoga. The practice of these three techniques, and the non-attachment to the world, are essential for the realization of the highest state of consciousness. 

It is said that one who does not practice tap, and surrender to the Lord, cannot attain the state of yoga. Similarly, one who does not practice self-study, cannot understand the highest principles of the self. 

It is essential for a seeker to continue this practice, and to persevere in the face of adversity, in order to achieve the desired state of consciousness. The aim of kriya yoga is to realize the ultimate reality through the combined practice of tap, self-study, and surrender to the Lord."""
2,2,"""The guru explains that through the practice of kriya yoga, one's internal organs become pure and one's attachment to the worldly life diminishes. One's mind becomes illuminated and the ego dissolves. Through the practice of kriya yoga, one's five afflictions can be overcome. The guru explains that kriya yoga is the eternal practice of tapas, svadhyaya, and ishvara pranidhana. As one practices kriya yoga, one's intellect becomes subdued and one's ego begins to dissolve. One's heart becomes pure and one's attachment to worldly life diminishes. Through kriya yoga, one can overcome the three types of afflictions: raga, dvesha, and abhinivesha. The guru emphasizes the importance of consistent practice and detachment for success on the path of yoga. He advises that one should engage in constant practice and detachment, and that the fruits of kriya yoga will be the realization of one's true self. He also warns that without consistent practice and detachment, one will remain stuck in the middle of the path."""
2,3,"""In the previous sutras, a new word emerged, which led to a natural question: what are these klesh and how many are there? Maharsi answers this inquiry by naming the five kleshas. They are: avidya, asmita, raga, dwesha, and abhinivesha. The intention of maharsi Vyasa in his yoga darshan commentary is that these five kleshas are five kinds of misperception. These five kleshas increase a person's unrighteous tendency and manifest it. Thus, a person gets entangled in the cycle of birth and death, getting stuck in the cycle of karma and reaction. As long as these five kleshas are present at the root of every tendency or action, a person cannot be liberated from bondage. As long as avidya and other kleshas are present at the root, a person cannot engage in righteous conduct. Liberation cannot be achieved. The aspirant cannot attain their true nature. Therefore, Maharsi has only mentioned the names of the five kleshas in this sutra. In later sutras, the details of the nature and activities of these five kleshas will be discussed."""
2,4,"""The teaching of the five great mistakes starts with the first mistake, which is Avyakta or ignorance. Here, maharishi will explain the concept of ignorance and its role in causing all the other four mistakes. The savior's work is to cultivate the state of samadhi through the practice of yoga and to weaken the seeds of the five great mistakes. For this, it is essential to understand the nature of the five great mistakes.

Avidya is the primary and most important point that everything originates from it, and it is the mother of all the mistakes. The cause of all the mistakes is ignorance, and Asmita, Raga, Dwesh, Abhinivesha are its effects. According to the text, the five-stage development of the great mistakes is as follows: Prasupta, which is the seed stage; Udara, which is the grown-up stage; Vichinna, which is the separating stage; Samadhi, which is the state of union; and Niralamba, which is the state of detachment.

The text further elaborates that when the seeds of the great mistakes are not yet manifest, they are in a dormant state. However, if the suitable environment arises, they can start to manifest, and the person will experience the consequences of their actions. The text also emphasizes the importance of self-realization and meditation in understanding the true nature of the self.

The text concludes by saying that it is essential to recognize the seeds of the great mistakes and to take steps to eliminate them. It recommends the practice of Pratipaksha Bhavana, which involves cultivating positive thoughts and emotions to counterbalance the negative ones, and eventually attaining the state of Samadhi, where the seeds of the great mistakes are completely eliminated."""
2,5,"Before, we defined ignorance as a small definition, that it is the mother of all kleshas, the causal or fundamental ground. Now, we will discuss the nature of ignorance. Seeing eternity in impermanent things, purity in impure things, taking suffering as happiness, and considering inanimate things as conscious beings - this is the primary characteristic of ignorance. How do we see the eternal in the impermanent? - Nature is trigunatantra, the outcome is impermanent, but all natural elements are separate from the conscious entity and are always present. 

The body made of these primordial elements also considers itself eternal and is deeply ignorant. If one considers the body to be impermanent and does not act in accordance, they will be overwhelmed by extreme ignorance. If one considers the body to be eternal, they will be still more deeply immersed in ignorance. 

To the extent that we are associated with impermanent things in daily life and behave with them as if they were eternal, it is also considered ignorance. In reality, the first and foremost root of all types of ignorance is considering the body to be eternal. As soon as we consider the body to be eternal, we start behaving as if the self, the object, the place, and the relationship are eternal too, and we get completely absorbed in ignorance. 

This is bondage and becomes more rigid and painful. Similarly, ignorance arises when we see eternity in impermanent things and purity in impure things. 

We should understand that ignorance has three main forms: taking suffering as happiness, considering the body to be pure and beautiful, and considering the self in the primordial elements. 

Suffering is considered happiness by the world, but in reality, it is suffering. Therefore, the disciple should practice renouncing both pleasure and pain. 

The fourth form of ignorance is seeing the self in the primordial elements and considering the body as the self. Not being able to distinguish between the conscious and unconscious principles is also ignorance. 

We cannot start our yoga journey without understanding the nature of the world and the individual. We will realize the true nature of the world and the individual through accumulation of experiences and practice, and then we will attain the highest knowledge."
2,6,"""There are two types of power in our body. One is the power of perception, i.e., the seeing ego, and the other is the power of insight, i.e., the intelligence that sees. When we do not see the distinction between these two powers, we consider the unity of these two as self-nature, and identify it as ego-clash. There is a natural distinction between the two fundamental principles, their attributes, and their nature, but due to ignorance, we do not understand the distinction between consciousness and inert objects and identify them as one. As a result, we see a confused, mixed form of the person, making it impossible to see the distinction between them without yoga. This is said to be the power of the divine Maya. The individual consciousness is the eternal principle, while intellect is a product of the natural process and the first manifestation of the material world. The individual consciousness is unmanifest, while intellect is manifest. The individual has the power of perception, but intellect is only the means by which it manifests. Without the practice of Ashtanga Yoga and Kriya Yoga, a person is under the control of Maya and does not recognize the distinction between the two, identifies them as one, and accumulates the impressions of suffering. It is only when man realizes the distinct nature of the two powers, the individual and intellect, that he gains true knowledge. We have learned what ego-clash is. We can destroy all these ego-clashes through Kriya Yoga (tapas, self-study, and worship of God) and then achieve self-realization through Ashtanga Yoga and samadhi."""
2,7,"Ignorance, asmita, two types of sufferings, are comprehensively understood after which rage, the third suffering, is found in the manifestation of it in each human being. When we experience any pleasure, we are driven to re-experience the same pleasure through the same means that brought us the initial pleasure, which is called rage in yoga. Although everyone enjoys pleasure, the suffering that arises from pleasure is not equal to the suffering that arises from the pleasure followed by rage, which hampers our life throughout. Therefore, saints and sages renounce the world to abandon these two sufferings, rage and hatred. These two sufferings keep us trapped in our daily life, and it is only by escaping from them that we can progress on the path of yoga. 

Rage arises from the desire to experience pleasure. For example, if you have tasted a sweet and been pleased with it, the memory of the sweet will remain in your mind, and when you get another opportunity to taste it, you will be driven to do so. If you cannot procure it easily, you may become restless and anxious. This is all due to rage. 

If someone obstructs you from getting the sweet, hatred will arise immediately. This hatred will spread to everything related to the sweet, and you will start hating everyone and everything associated with it. In the same way, hate and rage will start dominating your life, leading to conflicts, disturbances, and turmoil. Similarly, when we experience pleasure through the senses, we should understand that it can lead to the same kind of suffering."
2,8,"""It is also well-known that everyone's life is beset by different sorrows, and that the experience of these sorrows gets imprinted in the mind as a habit. This sorrow turns into a habit that is difficult to overcome, and it creates various obstacles, including mental and physical anger, violence, jealousy, and the like. If this habit of sorrow grows stronger, it creates a constant state of uncertainty, and the person becomes unable to trust anyone. If a person lives in this state of uncertainty, he becomes detached from his own self. He is reduced to just a physical body, losing touch with his true nature, which is his soul. This state is extremely perilous.

This habit of sorrow breeds constant negativity, and a person becomes irritable and complaining by nature. When someone is consumed by sorrow, they start thinking, 'Why did this sorrow come my way? What were the reasons behind it?' This experience gets imprinted in their mind as a habit, and it becomes a memory that is triggered by any adverse situation. This memory gives rise to hatred.

Hatred and attachment are two opposing forms of suffering, but they have a similar process of formation. Hatred separates a person from others and makes them inclined towards sin and violence, leading them down a path of bad karma that affects their entire life, birth after birth. Therefore, one should understand and utilize both attachment and hatred in the right way, solely for the upliftment of one's own life.

It is true that hatred is a form of suffering, but it also has a power within it. This power can help us overcome our shortcomings and vices. Therefore, if we use this power to rid ourselves of our flaws and weaknesses, it becomes a sattvic power. God has given us a choice - whether to use this power for good or to get consumed by it and destroy ourselves. The king of life is knowledge; know this and live accordingly."""
2,9,"Every individual has a fear within them, which is the fear of death. This is known as the ""fear of death"" or "" fear of demise"". This fear is not limited to ordinary humans, but even scholars who know about the self, the supreme self, and nature as per scriptures, and are aware of the principles and laws of yoga, but have not fully experienced the bliss of liberation and are still practicing for spiritual freedom, are also affected by this fear. This fear is present in the minds of ordinary humans and scholars at a subtle level. 

A question arises as to how someone who has not experienced death can have a fear of death. If someone has experienced death in some way but is still alive, then it is natural to have a fear of death. However, such events do not occur in everyone's life, and even if they did, it would be impossible. Therefore, it is a mystery why everyone, from the moment of birth, has a seed of fear of death in their mind, which is carried over from past lives. 

This is true that every living being has this fear. It means that this fear has been imprinted in our subconscious from the past lives, not from this life, when we died. This fear is the evidence of the existence of past lives, and also proves that the soul is eternal. 

This fear is always present in a subtle form, and some people are extremely affected by it because their subconscious mind is open to it. Those who take refuge in the sadhana of tap, swadhyaya, and ishwar pranidhan and move forward in life are eventually liberated from the fear of death. When a yogi experiences the ultimate truth, he is not affected by the fear of his own death, nor is he troubled by the death of any living being."
2,10,"In the previous sutras from number 3 to 9, Sage Patanjali has explained in detail the nature and working of the five Kleśas. After understanding them well, the disciples felt that these Kleśas are very dangerous, and their causes have made the entire life chaotic. All fetters and sorrows have their origin here too, so how can their complete annihilation be possible? Can the practice of Kriyāyoga alone eliminate them, or is there another method? To answer this, Sage Patanjali says that these five Kleśas, including avidyā, are extremely subtle. They are born of the same nature as the mind, and it is natural for them to merge into that same nature. In yoga practice, the obstacle-creating factors need to be brought under control, and the factors conducive to samādhi need to be manifest. It is essential for the seeker to understand which negative qualities will merge into their causes and which positive qualities or emotions will manifest because of what. Nothing is destroyed in the yogic path, it only merges. What originates from something else merges into that same thing, and that is what is meant by 'destruction.' Therefore, one needs to look upon one's own negative qualities, vices, bad habits, and bad tendencies as mere obstacles that need to be overcome by bringing them under control, and cultivate the opposite virtues, good habits, and noble tendencies. By adopting this thinking and perspective, the seeker begins to move forward on the yogic path. As soon as the five Kleśas merge into nature along with the mind, the yoga practitioner becomes pure and attains the state of samādhi. Being in the company of Ishvara, they abide in eternal bliss and live a life of liberation. They live in a state of resolution, living life free from karma."
2,11,"When conflicts are weakened through Kriya Yoga, meaning their gross manifestations are transformed into subtle forms through Kriya Yoga, then it is necessary to attempt to burn them away through meditation. When conflicts manifest in a large or intense form, they are referred to as their gross form. To remove them, one must take recourse to Kriya Yoga. Through Kriya Yoga, one can only make them subtle, but to almost completely eliminate them, a sincere effort is required, which is referred to as meditation by Maharshi. Here, meditation means discriminative awareness. Just as true knowledge arises from unshakeable awareness, similarly, I must strive to eliminate the subtle forms of my conflicts through such unshakeable awareness, and through this flow of unshakeable awareness, make a huge effort to eliminate them. Yoga Darshan is a systematic scripture. Here, one learns about the systematic way of knowing the true nature, the definite process, the definite goal, the problem, and the solution. Therefore, if Maharshi says that subtle conflicts can be eliminated through meditation or discriminative awareness, this is 100% true. Any aspirant who practices regular meditation will definitely find that the results described in the Yoga Sutras come about through them. Yoga Darshan is the scripture of practice, and without practice, there is no progress. Therefore, whoever aspires to practice Yoga Sutras in their life must bring the already formulated methods into practice. When our conflicts become subtle through Kriya Yoga, then the aspirant should constantly examine each action, behavior, and endeavor, and see if even a slightest trace of conflict exists. If it does, one should continue to make an effort to distance oneself from it. In this way, as continuous blows of knowledge are struck, there will come a day when one will gain complete control over one's conflicts."
