chapter,verse,sanskrit,translation,explanation
4,17,कर्मणो ह्यपि बोद्धव्यं बोद्धव्यं च विकर्मणः| अकर्मणश्च बोद्धव्यं गहना कर्मणो गतिः || 4.17 ||  ,"For verily, the true nature of action enjoined by the scriptures should be known, as well as that of forbidden or unlawful action, and of inaction; the nature of action is hard to understand.","If one is serious about liberation from material bondage, one has to understand the distinctions between action, inaction and unauthorized actions. One has to apply oneself to such an analysis of action, reaction and perverted actions because it is a very difficult subject matter. To understand Kṛṣṇa consciousness and action according to the modes, one has to learn one's relationship with the Supreme; i.e., one who has learned perfectly knows that every living entity is the eternal servitor of the Lord and that consequently one has to act in Kṛṣṇa consciousness. The entire Bhagavad-gītā is directed toward this conclusion. Any other conclusions, against this consciousness and its attendant reactions, are vikarmas, or prohibitive actions. To understand all this one has to associate with authorities in Kṛṣṇa consciousness and learn the secret from them; this is as good as learning from the Lord directly. Otherwise, even the most intelligent person will be bewildered."
4,18,कर्मण्यकर्म यः पश्येदकर्मणि च कर्म यः| स बुद्धिमान् मनुष्येषु स युक्तः कृत्स्नकर्मकृत् || 4.18 ||  ,"He who sees inaction in action and action in inaction, he is wise among men; he is a yogi and performer of all actions.","A person acting in Kṛṣṇa consciousness is naturally free from the bonds of karma. His activities are all performed for Kṛṣṇa; therefore he does not enjoy or suffer any of the effects of work. Consequently he is intelligent in human society, even though he is engaged in all sorts of activities for Kṛṣṇa. Akarma means without reaction to work. The impersonalist ceases fruitive activities out of fear, so that the resultant action may not be a stumbling block on the path of self-realization, but the personalist knows rightly his position as the eternal servitor of the Supreme Personality of Godhead. Therefore he engages himself in the activities of Kṛṣṇa consciousness. Because everything is done for Kṛṣṇa, he enjoys only transcendental happiness in the discharge of this service. Those who are engaged in this process are known to be without desire for personal sense gratification. The sense of eternal servitorship to Kṛṣṇa makes one immune to all sorts of reactionary elements of work."
4,19,यस्य सर्वे समारम्भाः कामसङ्कल्पवर्जिताः| ज्ञानाग्निदग्धकर्माणं तमाहुः पण्डितं बुधाः || 4.19 ||  ,"He whose undertakings are all devoid of desires and selfish purposes, and whose actions have been burned by the fire of knowledge, the wise call him a sage.","Only a person in full knowledge can understand the activities of a person in Kṛṣṇa consciousness. Because the person in Kṛṣṇa consciousness is devoid of all kinds of sense-gratificatory propensities, it is to be understood that he has burned up the reactions of his work by perfect knowledge of his constitutional position as the eternal servitor of the Supreme Personality of Godhead. He is actually learned who has attained to such perfection of knowledge. Development of this knowledge of the eternal servitorship of the Lord is compared to fire. Such a fire, once kindled, can burn up all kinds of reactions to work."
4,20,त्यक्त्वा कर्मफलासङ्गं नित्यतृप्तो निराश्रयः| कर्मण्यभिप्रवृत्तोऽपि नैव किञ्चित्करोति सः || 4.20 ||  ,"Having abandoned attachment to the fruits of the action, ever content, depending on nothing, he does not do anything even while being engaged in activity.","This freedom from the bondage of actions is possible only in Kṛṣṇa consciousness when one is doing everything for Kṛṣṇa. A Kṛṣṇa conscious person acts out of pure love for the Supreme Personality of Godhead, and therefore he has no attraction for the results of the action. He is not even attached to his personal maintenance, for everything is left to Kṛṣṇa. Nor is he anxious to secure things, nor to protect things already in his possession. He does his duty to his best ability and leaves everything to Kṛṣṇa. Such an unattached person is always free from the resultant reactions of good and bad; it is as though he were not doing anything. This is the sign of akarma, or actions without fruitive reactions. Any other action, therefore, devoid of Kṛṣṇa consciousness, is binding upon the worker, and that is the real aspect of vikarma, as explained hereinbefore."
4,21,निराशीर्यतचित्तात्मा त्यक्तसर्वपरिग्रहः| शारीरं केवलं कर्म कुर्वन्नाप्नोति किल्बिषम् || 4.21 ||  ,"Without hope, controlling the mind and the self, having abandoned all covetousness, and performing only bodily actions, one incurs no sin.","A Kṛṣṇa conscious person does not expect good or bad results in his activities. His mind and intelligence are fully controlled. He knows that he is part and parcel of the Supreme, and therefore the part played by him, as a part and parcel of the whole, is not his by choice but is chosen for him by the Supreme and is done only through His agency. When the hand moves, it does not move out of its own accord, but by the endeavor of the whole body. A Kṛṣṇa conscious person is always dovetailed with the supreme desire, for he has no desire for personal sense gratification. He moves exactly like a part of a machine. As a machine part requires oiling and cleaning for maintenance, similarly, a Kṛṣṇa conscious man maintains himself by his work just to remain fit for action in the transcendental loving service of the Lord. He is therefore immune to all the reactions of his endeavors. Like an animal, he has no proprietorship even over his own body. A cruel proprietor of an animal sometimes kills the animal in his possession, yet the animal does not protest. Nor does it have any real independence. A Kṛṣṇa conscious person, fully engaged in self- realization, has very little time to falsely possess any material object. For maintaining body and soul, he does not require unfair means of accumulating money. He does not, therefore, become contaminated by such material sins. He is free from all reactions to his actions."
4,22,यदृच्छालाभसन्तुष्टो द्वन्द्वातीतो विमत्सरः| समः सिद्धावसिद्धौ च कृत्वापि न निबध्यते || 4.22 ||  ,"Content with what comes to him without effort, free from the pairs of opposites and envy, even-minded in success and failure, he acts yet is not bound.","A Kṛṣṇa conscious person does not make much endeavor even to maintain his body. He is satisfied with gains which are obtained of their own accord. He neither begs nor borrows, but he labors honestly as far as is in his power, and is satisfied with whatever is obtained by his own honest labor. He is therefore independent in his livelihood. He does not allow anyone's service to hamper his own service in Kṛṣṇa consciousness. However, for the service of the Lord he can participate in any kind of action without being disturbed by the duality of the material world. The duality of the material world is felt in terms of heat and cold, or misery and happiness. A Kṛṣṇa conscious person is above duality because he does not hesitate to act in any way for the satisfaction of Kṛṣṇa. Therefore he is steady both in success and in failure. These signs are visible when one is fully in transcendental knowledge."
4,23,गतसङ्गस्य मुक्तस्य ज्ञानावस्थितचेतसः| यज्ञायाचरतः कर्म समग्रं प्रविलीयते || 4.23 ||  ,"To one who is devoid of attachment, who is liberated, whose mind is established in knowledge, and who works for the sake of sacrifice (for the sake of God), the whole action is dissolved.","Becoming fully Kṛṣṇa conscious, one is freed from all dualities and thus is free from the contaminations of the material modes. He can become liberated because he knows his constitutional position in relationship with Kṛṣṇa; and thus his mind cannot be drawn from Kṛṣṇa consciousness. Consequently, whatever he does, he does for Kṛṣṇa, who is the primeval Viṣṇu. Therefore, all his works are technically sacrifices because sacrifice involves satisfying the Supreme Person, Kṛṣṇa. The resultant reactions to all such work certainly merge into transcendence, and one does not suffer material effects."
4,24,ब्रह्मार्पणं ब्रह्महविर्ब्रह्माग्नौ ब्रह्मणा हुतम्| ब्रह्मैव तेन गन्तव्यं ब्रह्मकर्मसमाधिना || 4.24 ||  ,Brahman is the oblation; Brahman is the melted butter (ghee); by Brahman is the oblation poured into the fire of Brahman; Brahman indeed shall be attained by one who always sees Brahman in action.,"How activities in Kṛṣṇa consciousness can lead one ultimately to the spiritual goal is described here. There are various activities in Kṛṣṇa consciousness, and all of them will be described in the following verses. But, for the present, just the principle of Kṛṣṇa consciousness is described. A conditioned soul, entangled in material contamination, is sure to act in the material atmosphere, and yet he has to get out of such an environment. The process by which the conditioned soul can get out of the material atmosphere is Kṛṣṇa consciousness. For example, a patient who is suffering from a disorder of the bowels due to overindulgence in milk products is cured by another milk product, namely curds. The materially absorbed conditioned soul can be cured by Kṛṣṇa consciousness as set forth here in the Gītā. This process is generally known as yajña, or activities (sacrifices) simply meant for the satisfaction of Viṣṇu or Kṛṣṇa. The more the activities of the material world are performed in Kṛṣṇa consciousness, or for Viṣṇu only, the more the atmosphere becomes spiritualized by complete absorption. Brahman means spiritual. The Lord is spiritual, and the rays of His transcendental body are called brahmajyoti, His spiritual effulgence. Everything that exists is situated in that brahmajyoti, but when the jyoti is covered by illusion (māyā) or sense gratification, it is called material. This material veil can be removed at once by Kṛṣṇa consciousness; thus the offering for the sake of Kṛṣṇa consciousness, the consuming agent of such an offering or contribution, the process of consumption, the contributor, and the result are–all combined together– Brahman, or the Absolute Truth. The Absolute Truth covered by māyā is called matter. Matter dovetailed for the cause of the Absolute Truth regains its spiritual quality. Kṛṣṇa consciousness is the process of converting the illusory consciousness into Brahman, or the Supreme. When the mind is fully absorbed in Kṛṣṇa consciousness, it is said to be in samādhi, or trance. Anything done in such transcendental consciousness is called yajña, or sacrifice for the Absolute. In that condition of spiritual consciousness, the contributor, the contribution, the consumption, the performer or leader of the performance, and the result or ultimate gain–everything–becomes one in the Absolute, the Supreme Brahman. That is the method of Kṛṣṇa consciousness."
4,25,दैवमेवापरे यज्ञं योगिनः पर्युपासते| ब्रह्माग्नावपरे यज्ञं यज्ञेनैवोपजुह्वति || 4.25 ||  ,"Some yogis perform sacrifice to the gods alone; while others, who have realized the Self, offer the Self as sacrifice in the fire of Brahman alone.","As described above, a person engaged in discharging duties in Kṛṣṇa consciousness is also called a perfect yogī or a first-class mystic. But there are others also, who perform similar sacrifices in the worship of demigods, and still others who sacrifice to the Supreme Brahman, or the impersonal feature of the Supreme Lord. So there are different kinds of sacrifices in terms of different categories. Such different categories of sacrifice by different types of performers only superficially demark varieties of sacrifice. Factual sacrifice means to satisfy the Supreme Lord, Viṣṇu, who is also known as Yajña. All the different varieties of sacrifice can be placed within two primary divisions: namely, sacrifice of worldly possessions and sacrifice in pursuit of transcendental knowledge. Those who are in Kṛṣṇa consciousness sacrifice all material possessions for the satisfaction of the Supreme Lord, while others, who want some temporary material happiness, sacrifice their material possessions to satisfy demigods such as Indra, the sun-god, etc. And others, who are impersonalists, sacrifice their identity by merging into the existence of impersonal Brahman. The demigods are powerful living entities appointed by the Supreme Lord for the maintenance and supervision of all material functions like the heating, watering and lighting of the universe. Those who are interested in material benefits worship the demigods by various sacrifices according to the Vedic rituals. They are called bahv-īśvara-vādī, or believers in many gods. But others, who worship the impersonal feature of the Absolute Truth and regard the forms of the demigods as temporary, sacrifice their individual selves in the supreme fire and thus end their individual existences by merging into the existence of the Supreme. Such impersonalists spend their time in philosophical speculation to understand the transcendental nature of the Supreme. In other words, the fruitive workers sacrifice their material possessions for material enjoyment, whereas the impersonalist sacrifices his material designations with a view to merging into the existence of the Supreme. For the impersonalist, the fire altar of sacrifice is the Supreme Brahman, and the offering is the self being consumed by the fire of Brahman. The Kṛṣṇa conscious person, like Arjuna, however, sacrifices everything for the satisfaction of Kṛṣṇa, and thus all his material possessions as well as his own self—everything—is sacrificed for Kṛṣṇa. Thus, he is the first-class yogī; but he does not lose his individual existence."
4,26,श्रोत्रादीनीन्द्रियाण्यन्ये संयमाग्निषु जुह्वति| शब्दादीन्विषयानन्य इन्द्रियाग्निषु जुह्वति || 4.26 ||  ,Some again offer the organ of hearing and other senses as a sacrifice in the fire of restraint; others offer sound and other objects of the senses as a sacrifice in the fire of the senses.,"The four divisions of human life, namely the brahmacārī, the gṛhastha, the vānaprastha, and the sannyāsī, are all meant to help men become perfect yogīs or transcendentalists. Since human life is not meant for our enjoying sense gratification like the animals, the four orders of human life are so arranged that one may become perfect in spiritual life. The brahmacārīs, or students under the care of a bona fide spiritual master, control the mind by abstaining from sense gratification. They are referred to in this verse as sacrificing the hearing process and the senses in the fire of the controlled mind. A brahmacārī hears only words concerning Kṛṣṇa consciousness; hearing is the basic principle for understanding, and therefore the pure brahmacārī engages fully in harer nāmānukīrtanam—chanting and hearing the glories of the Lord. He restrains himself from the vibrations of material sounds, and his hearing is engaged in the transcendental sound vibration of Hare Kṛṣṇa, Hare Kṛṣṇa. Similarly, the householders, who have some license for sense gratification, perform such acts with great restraint. Sex life, intoxication and meat eating are general tendencies of human society, but a regulated householder does not indulge in unrestricted sex life and other sense gratifications. Marriage on principles of religious life is therefore current in all civilized human society because that is the way for restricted sex life. This restricted, unattached sex life is also a kind of yajña because the restricted householder sacrifices his general tendency toward sense gratification for higher transcendental life."
4,27,सर्वाणीन्द्रियकर्माणि प्राणकर्माणि चापरे| आत्मसंयमयोगाग्नौ जुह्वति ज्ञानदीपिते || 4.27 ||  ,"Others again sacrifice all the functions of the senses and those of the breath (vital energy, or Prana) in the fire of the Yoga of self-restraint, kindled by knowledge.","The yoga system conceived by Patañjali is referred to herein. In the Yogasūtra of Patañjali, the soul is called pratyag-ātmā and parag-ātmā. As long as the soul is attached to sense enjoyment, it is called parag-ātmā. The soul is subjected to the functions of ten kinds of air at work within the body, and this is perceived through the breathing system. The Pātañjala system of yoga instructs one on how to control the functions of the body's air in a technical manner so that ultimately all the functions of the air within become favorable for purifying the soul of material attachment. According to this yoga system, pratyag ātmā is the ultimate goal. This pratyag ātmā is a withdrawal from activities in matter. The senses interact with the sense objects, like the ear for hearing, eyes for seeing, nose for smelling, tongue for tasting, hand for touching, and all of them are thus engaged in activities outside the self. They are called the functions of the prāṇa-vāyu. The apāna-vāyu goes downwards, vyāna-vāyu acts to shrink and expand, samāna-vāyu adjusts equilibrium, udāna-vāyu goes upwards–and when one is enlightened, one engages all these in searching for self-realization."
4,28,द्रव्ययज्ञास्तपोयज्ञा योगयज्ञास्तथापरे| स्वाध्यायज्ञानयज्ञाश्च यतयः संशितव्रताः || 4.28 ||  ,"Others again offer wealth, austerity, and Yoga as sacrifice, while ascetics of self-restraint and rigid vows offer the study of scriptures and knowledge as sacrifice.","These sacrifices may be fitted into various divisions. There are persons who are sacrificing their possessions in the form of various kinds of charities. In India, the rich mercantile community or princely orders open various kinds of charitable institutions like dharmaśālā, anna-kṣetra, atithi-śālā, anathalaya, vidyāpīṭha, etc. In other countries, too, there are many hospitals, old age homes and similar charitable foundations meant for distributing food, education and medical treatment free to the poor. All these charitable activities are called dravyamaya-yajña. There are others who, for higher elevation in life or for promotion to higher planets within the universe, voluntarily accept many kinds of austerities such as candrāyana and cāturmāsya. These processes entail severe vows for conducting life under certain rigid rules. For example, under the cāturmāsya vow the candidate does not shave for four months during the year (July to October), he does not eat certain foods, does not eat twice in a day and does not leave home. Such sacrifice of the comforts of life is called tapomaya-yajña. There are still others who engage themselves in different kinds of mystic yogas like the Patañjali system (for merging into the existence of the Absolute), or haṭha-yoga or aṣṭāṅga-yoga (for particular perfections). And some travel to all the sanctified places of pilgrimage. All these practices are called yoga-yajña, sacrifice for a certain type of perfection in the material world. There are others who engage themselves in the studies of different Vedic literatures, specifically the Upaniṣads and Vedānta-sūtras, or the sāṅkhya philosophy. All of these are called svādhyāya-yajña, or engagement in the sacrifice of studies. All these yogīs are faithfully engaged in different types of sacrifice and are seeking a higher status of life. Kṛṣṇa consciousness, is, however, different from these because it is the direct service of the Supreme Lord. Kṛṣṇa consciousness cannot be attained by any one of the above-mentioned types of sacrifices but can be attained only by the mercy of the Lord and His bona fide devotee. Therefore, Kṛṣṇa consciousness is transcendental."
4,29,अपाने जुह्वति प्राण प्राणेऽपानं तथाऽपरे| प्राणापानगती रुद्ध्वा प्राणायामपरायणाः || 4.29 ||  ,"Others offer as sacrifice the outgoing breath into the incoming, and the incoming into the outgoing, restraining the flow of the outgoing and the incoming breaths, solely absorbed in the restraint of the breath.","This system of yoga for controlling the breathing process is called prāṇāyāma, and in the beginning it is practiced in the haṭha-yoga system through different sitting postures. All of these processes are recommended for controlling the senses and for advancement in spiritual realization. This practice involves controlling the air within the body to enable simultaneous passage in opposite directions. The apāna air goes downward, and the prāṇa air goes up. The prāṇāyāma yogī practices breathing the opposite way until the currents are neutralized into pūraka, equilibrium. Similarly, when the exhaled breathing is offered to inhaled breathing, it is called recaka. When both air currents are completely stopped, it is called kumbhaka-yoga. By practice of kumbhaka-yoga, the yogīs increase the duration of life by many, many years. A Kṛṣṇa conscious person, however, being always situated in the transcendental loving service of the Lord, automatically becomes the controller of the senses. His senses, being always engaged in the service of Kṛṣṇa, have no chance of becoming otherwise engaged. So at the end of life, he is naturally transferred to the transcendental plane of Lord Kṛṣṇa; consequently he makes no attempt to increase his longevity. He is at once raised to the platform of liberation. A Kṛṣṇa conscious person begins from the transcendental stage, and he is constantly in that consciousness. Therefore, there is no falling down, and ultimately he enters into the abode of the Lord without delay. The practice of reduced eating is automatically done when one eats only Kṛṣṇa prasādam, or food which is offered first to the Lord. Reducing the eating process is very helpful in the matter of sense control. And without sense control there is no possibility of getting out of the material entanglement."
4,30,अपरे नियताहाराः प्राणान्प्राणेषु जुह्वति| सर्वेऽप्येते यज्ञविदो यज्ञक्षपितकल्मषाः || 4.30 ||  ,"Others who regulate their diet offer life-breaths in each life-breath. All these are knowers of sacrifice, whose sins are destroyed through sacrifice.","From the foregoing explanation of differents types of sacrifice (namely sacrifice of one's possessions, study of the Vedas or philosophical doctrines, and performance of the yoga system), it is found that the common aim of all is to control the senses. Sense gratification is the root cause of material existence; therefore, unless and until one is situated on a platform apart from sense gratification, there is no chance of being elevated to the eternal platform of full knowledge, full bliss and full life. This platform is in the eternal atmosphere, or Brahman atmosphere. All the above-mentioned sacrifices help one to become cleansed of the sinful reactions of material existence. By this advancement in life, one not only becomes happy and opulent in this life, but also, at the end, he enters into the eternal kingdom of God, either merging into the impersonal Brahman or associating with the Supreme Personality of Godhead, Kṛṣṇa."
4,31,यज्ञशिष्टामृतभुजो यान्ति ब्रह्म सनातनम्| नायं लोकोऽस्त्ययज्ञस्य कुतो़ऽन्यः कुरुसत्तम || 4.31 ||  ,"Those who eat the remnants of the sacrifice, which are like nectar, go to the eternal Brahman. This world is not for the one who does not perform sacrifice; how then can they have the other, O Arjuna?","Whatever form of material existence one is in, one is invariably ignorant of his real situation. In other words, existence in the material world is due to the multiple reactions to our sinful lives. Ignorance is the cause of sinful life, and sinful life is the cause of one's dragging on in material existence. The human form of life is the only loophole by which one may get out of this entanglement. The Vedas, therefore, give us a chance for escape by pointing out the paths of religion, economic comfort, regulated sense gratification and, at last, the means to get out of the miserable condition entirely. The path of religion, or the different kinds of sacrifice recommended above, automatically solves our economic problems. By performance of yajña we can have enough food, enough milk, etc.—even if there is a so-called increase of population. When the body is fully supplied, naturally the next stage is to satisfy the senses. The Vedas prescribe, therefore, sacred marriage for regulated sense gratification. Thereby one is gradually elevated to the platform of release from material bondage, and the highest perfection of liberated life is to associate with the Supreme Lord. Perfection is achieved by performance of yajña (sacrifice), as described above. Now, if a person is not inclined to perform yajña according to the Vedas, how can he expect a happy life? There are different grades of material comforts in different heavenly planets, and in all cases there is immense happiness for persons engaged in different kinds of yajña. But the highest kind of happiness that a man can achieve is to be promoted to the spiritual planets by practice of Kṛṣṇa consciousness. A life of Kṛṣṇa consciousness is therefore the solution to all the problems of material existence."
4,32,एवं बहुविधा यज्ञा वितता ब्रह्मणो मुखे| कर्मजान्विद्धि तान्सर्वानेवं ज्ञात्वा विमोक्ष्यसे || 4.32 ||  ,"Thus, manifold sacrifices are spread out before Brahman at the face of Brahman. Know them all to be born of action, and thus knowing, you shall be liberated.","Different types of sacrifice, as discussed above, are mentioned in the Vedas to suit the different types of worker. Because men are so deeply absorbed in the bodily concept, these sacrifices are so arranged that one can work either with the body, the mind, or the intelligence. But all of them are recommended for ultimately bringing about liberation from the body. This is confirmed by the Lord herewith from His own mouth."
4,33,श्रेयान्द्रव्यमयाद्यज्ञाज्ज्ञानयज्ञः परन्तप| सर्वं कर्माखिलं पार्थ ज्ञाने परिसमाप्यते || 4.33 ||  ,"Superior is wisdom-sacrifice to the sacrifice with objects, O Parantapa (scorcher of the foes). All actions in their entirety, O Arjuna, culminate in knowledge.","The purpose of all sacrifices is to arrive at the status of complete knowledge, then to gain release from material miseries, and, ultimately, to engage in loving transcendental service to the Supreme Lord (Kṛṣṇa consciousness). Nonetheless, there is a mystery about all these different activities of sacrifice, and one should know this mystery. Sacrifices sometimes take different forms according to the particular faith of the performer. When one's faith reaches the stage of transcendental knowledge, the performer of sacrifices should be considered more advanced than those who simply sacrifice material possessions without such knowledge, for without attainment of knowledge, sacrifices remain on the material platform and bestow no spiritual benefit. Real knowledge culminates in Kṛṣṇa consciousness, the highest stage of transcendental knowledge. Without the elevation of knowledge, sacrifices are simply material activities. When, however, they are elevated to the level of transcendental knowledge, all such activities enter onto the spiritual platform. Depending on differences in consciousness, sacrificial activities are sometimes called karma- kāṇḍa, fruitive activities, and sometimes jñāna-kāṇḍa, knowledge in the pursuit of truth. It is better when the end is knowledge."
4,34,तद्विद्धि प्रणिपातेन परिप्रश्नेन सेवया| उपदेक्ष्यन्ति ते ज्ञानं ज्ञानिनस्तत्त्वदर्शिनः || 4.34 ||  ,"Know that the wise who have realized the truth will instruct thee in that knowledge through long prostration, supplication, and service.","The path of spiritual realization is undoubtedly difficult. The Lord therefore advises us to approach a bona fide spiritual master in the line of disciplic succession from the Lord Himself. No one can be a bona fides piritual master without following this principle of disciplic succession. The Lord is the original spiritual master, and a person in the disciplic succession can convey the message of the Lord as it is to his disciple. No one can be spiritually realized by manufacturing his own process, as is the fashion of the foolish pretenders. The Bhāgavatam says: dharmaṁ hi sākṣād-bhagavat-praṇītam– the path of religion is directly enunciated by the Lord. Therefore, mental speculation or dry arguments cannot help one progress in spiritual life. One has to approach a bona fide spiritual master to receive the knowledge. Such a spiritual master should be accepted in full surrender, and one should serve the spiritual master like a menial servant, without false prestige. Satisfaction of the self-realized spiritual master is the secret of advancement in spiritual life. Inquiries and submission constitute the proper combination for spiritual understanding. Unless there is submission and service, inquiries from the learned spiritual master will not be effective. One must be able to pass the test of the spiritual master, and when he sees the genuine desire of the disciple, he automatically blesses the disciple with genuine spiritual understanding. In this verse, both blind following and absurd inquiries are condemned. One should not only hear submissively from the spiritual master, but one must also get a clear understanding from him, in submission and service and inquiries. A bona fide spiritual master is by nature very kind toward the disciple. Therefore when the student is submissive and is always ready to render service, the reciprocation of knowledge and inquiries becomes perfect."
4,35,यज्ज्ञात्वा न पुनर्मोहमेवं यास्यसि पाण्डव| येन भूतान्यशेषेण द्रक्ष्यस्यात्मन्यथो मयि || 4.35 ||  ,"Knowing that thou shalt not, O Arjuna, again be deluded like this; and by that thou shalt see all beings in thyself and also in me.","The result of receiving knowledge from a self-realized soul, or one who knows things as they are, is learning that all living beings are parts and parcels of the Supreme Personality of Godhead, Lord Śrī Kṛṣṇa. The sense of a separated existence from Kṛṣṇa is called māyā (mā–not, yā–this). Some think that we have nothing to do with Kṛṣṇa, that Kṛṣṇa is only a great historical personality and that the Absolute is the impersonal Brahman. Factually, as it is stated in the Bhagavad-gītā, this impersonal Brahman is the personal effulgence of Kṛṣṇa. Kṛṣṇa, as the Supreme Personality of Godhead, is the cause of everything. In the Brahma-saṁhitā it is clearly stated that Kṛṣṇa is the Supreme Personality of Godhead, the cause of all causes. Even the millions of incarnations are only His different expansions. Similarly, the living entities are also expansions of Kṛṣṇa. The Māyāvādī philosophers wrongly think that Kṛṣṇa loses His own separate existence in His many expansions. This thought is material in nature. We have experience in the material world that a thing, when fragmentally distributed, loses its own original identity. But the Māyāvādī philosophers fail to understand that Absolute means that one plus one is equal to one, and that one minus one is also equal to one. This is the case in the absolute world. For want of sufficient knowledge in the absolute science, we are now covered with illusion, and therefore we think that we are separate from Kṛṣṇa. Although we are separated parts of Kṛṣṇa, we are nevertheless not different from Him. The bodily difference of the living entities is māyā, or not actual fact. We are all meant to satisfy Kṛṣṇa. By māyā alone Arjuna thought that the temporary bodily relationship with his kinsmen was more important than his eternal spiritual relationship with Kṛṣṇa. The whole teaching of the Gītā is targetted toward this end: that a living being, as His eternal servitor, cannot be separated from Kṛṣṇa, and his sense of being an identity apart from Kṛṣṇa is called māyā. The living entities, as separate parts and parcels of the Supreme, have a purpose to fulfill. Having forgotten that purpose, since time immemorial they are situated in different bodies, as men, animals, demigods, etc. Such bodily differences arise from forgetfulness of the transcendental service of the Lord. But when one is engaged in transcendental service through Kṛṣṇa consciousness, one becomes at once liberated from this illusion. One can acquire such pure knowledge only from the bona fide spiritual master and thereby avoid the delusion that the living entity is equal to Kṛṣṇa. Perfect knowledge is that the Supreme Soul, Kṛṣṇa, is the supreme shelter for all living entities, and giving up such shelter, the living entities are deluded by the material energy, imagining themselves to have a separate identity. Thus, under different standards of material identity, they become forgetful of Kṛṣṇa. When, however, such deluded living entities become situated in Kṛṣṇa consciousness, it is to be understood that they are on the path of liberation, as confirmed in the Bhāgavatam: muktir hitvānyathā rūpaṁ svarūpeṇa vyavasthitiḥ. Liberation means to be situated in one's constitutional position as the eternal servitor of Kṛṣṇa (Kṛṣṇa consciousness)."
4,36,अपि चेदसि पापेभ्यः सर्वेभ्यः पापकृत्तमः| सर्वं ज्ञानप्लवेनैव वृजिनं सन्तरिष्यसि || 4.36 || ,"Even if thou art the most sinful of all sinners, yet thou shalt surely cross over all sins by the raft of knowledge.","Proper understanding of one's constitutional position in relationship to Kṛṣṇa is so nice that it can at once lift one from the struggle for existence which goes on in the ocean of nescience. This material world is sometimes regarded as an ocean of nescience and sometimes as a blazing forest. In the ocean, however expert a swimmer one may be, the struggle for existence is very severe. If someone comes forward and lifts the struggling swimmer from the ocean, he is the greatest savior. Perfect knowledge, received from the Supreme Personality of Godhead, is the path of liberation. The boat of Kṛṣṇa consciousness is very simple, but at the same time the most sublime."
4,37,यथैधांसि समिद्धोऽग्निर्भस्मसात्कुरुतेऽर्जुन| ज्ञानाग्निः सर्वकर्माणि भस्मसात्कुरुते तथा || 4.37 ||  ,"As the blazing fire reduces fuel to ashes, O Arjuna, so does the fire of knowledge reduce all actions to ash.","Perfect knowledge of self and Superself and of their relationship is compared herein to fire. This fire not only burns up all reactions to impious activities, but also all reactions to pious activities, turning them to ashes. There are many stages of reaction: reaction in the making, reaction fructifying, reaction already achieved, and reaction a priori. But knowledge of the constitutional position of the living entity burns everything to ashes. When one is in complete knowledge, all reactious, both a priori and a posteriori, are consumed. In the Vedas it is stated: ubhe uhaivaiṣa ete taraty amṛtaḥ sādhvasādhūnī: ""One overcomes both the pious and impious interactions of work."""
4,38,न हि ज्ञानेन सदृशं पवित्रमिह विद्यते| तत्स्वयं योगसंसिद्धः कालेनात्मनि विन्दति || 4.38 ||  ,"Verily, there is no purifier in this world like knowledge. He who is perfected in Yoga finds it within the Self in due time.","When we speak of transcendental knowledge, we do so in terms of spiritual understanding. As such, there is nothing so sublime and pure as transcendental knowledge. Ignorance is the cause of our bondage, and knowledge is the cause of our liberation. This knowledge is the mature fruit of devotional service, and when one is situated in transcendental knowledge, he need not search for peace elsewhere, for he enjoys peace within himself. In other words, this knowledge and peace are culminated in Kṛṣṇa consciousness. That is the last word in the Bhagavad-gītā."
4,39,श्रद्धावाँल्लभते ज्ञानं तत्परः संयतेन्द्रियः| ज्ञानं लब्ध्वा परां शान्तिमचिरेणाधिगच्छति || 4.39 ||  ,"The one who is full of faith, devoted to it, and has subdued their senses obtains this knowledge; and upon obtaining the knowledge, they attain the supreme peace immediately.","Such knowledge in Kṛṣṇa consciousness can be achieved by a faithful person who believes firmly in Kṛṣṇa. One is called a faithful man who thinks that, simply by acting in Kṛṣṇa consciousness, he can attain the highest perfection. This faith is attained by the discharge of devotional service, and by chanting ""Hare Kṛṣṇa, Hare Kṛṣṇa, Kṛṣṇa Kṛṣṇa, Hare Hare/ Hare Rāma, Hare Rāma, Rāma Rāma, Hare Hare,"" which cleanses one's heart of all material dirt. Over and above this, one should control the senses. A person who is faithful to Kṛṣṇa and who controls the senses can easily attain perfection in the knowledge of Kṛṣṇa consciousness without delay."
